,sample,episode,number_of_iter
1272,250,150,5
1273,250,150,6
1274,250,150,7
1275,250,150,8
1276,250,150,7
1277,250,150,5
1278,250,150,8
1279,250,150,7
1280,250,150,6
1281,250,150,5
1282,250,150,9
1283,250,150,7
1284,250,150,6
1285,250,150,8
1286,250,150,8
1287,250,150,8
1288,250,150,7
1289,250,150,8
1290,250,150,8
1291,250,150,9
1292,250,150,7
1293,250,150,5
1294,250,150,6
1295,250,150,7
1296,250,150,7
1297,250,150,8
1298,250,150,7
1299,250,150,6
1300,250,150,6
1301,250,150,7
1302,250,150,6
1303,250,150,6
1304,250,150,4
1305,250,150,6
1306,250,150,8
1307,250,150,5
1308,250,150,7
1309,250,150,7
1310,250,150,8
1311,250,150,5
1312,250,150,7
1313,250,150,8
1314,250,150,6
1315,250,150,7
1316,250,150,5
1317,250,150,8
1318,250,150,7
1319,250,150,7
1320,250,150,8
1321,250,150,6
1322,250,150,8
1323,250,150,8
1324,250,150,6
1325,250,150,6
1326,250,150,8
1327,250,150,7
1328,250,150,3
1329,250,150,7
1330,250,150,6
1331,250,150,6
1332,250,150,8
1333,250,150,6
1334,250,150,8
1335,250,150,6
1336,250,150,7
1337,250,150,5
1338,250,150,6
1339,250,150,7
1340,250,150,6
1341,250,150,7
1342,250,150,7
1343,250,150,9
1344,250,150,9
1345,250,150,7
1346,250,150,6
1347,250,150,4
1348,250,150,7
1349,250,150,9
1350,250,150,6
1351,250,150,7
1352,250,150,6
1353,250,150,7
1354,250,150,6
1355,250,150,5
1356,250,150,6
1357,250,150,8
1358,250,150,5
1359,250,150,6
1360,250,150,6
1361,250,150,5
1362,250,150,10
1363,250,150,5
1364,250,150,7
1365,250,150,5
1366,250,150,5
1367,250,150,7
1368,250,150,7
1369,250,150,7
1370,250,150,5
1371,250,150,8
1372,250,150,7
1373,250,150,7
1374,250,150,7
1375,250,150,11
1376,250,150,6
1377,250,150,9
1378,250,150,5
1379,250,150,4
1380,250,150,7
1381,250,150,7
1382,250,150,6
1383,250,150,10
1384,250,150,8
1385,250,150,6
1386,250,150,7
1387,250,150,5
1388,250,150,8
1389,250,150,6
1390,250,150,6
1391,250,150,6
1392,250,150,5
1393,250,150,5
1394,250,150,6
1395,250,150,8
1396,250,150,7
1397,250,150,8
1398,250,150,7
1399,250,150,7
1400,250,150,7
1401,250,150,9
1402,250,150,7
1403,250,150,5
1404,250,150,6
1405,250,150,6
1406,250,150,7
1407,250,150,7
1408,250,150,7
1409,250,150,4
1410,250,150,7
1411,250,150,6
1412,250,150,7
1413,250,150,9
1414,250,150,7
1415,250,150,7
1416,250,150,6
1417,250,150,8
1418,250,150,8
1419,250,150,6
1420,250,150,7
1421,250,150,8
1422,250,150,7
1423,250,150,6
1424,250,150,8
1425,250,150,7
1426,250,150,5
1427,250,150,7
1428,250,150,7
1429,250,150,6
1430,250,150,6
1431,250,150,8
1432,250,150,6
1433,250,150,6
1434,250,150,7
1435,250,150,6
1436,250,150,6
1437,250,150,5
1438,250,150,9
1439,250,150,5
1440,250,150,6
1441,250,150,6
1442,250,150,6
1443,250,150,7
1444,250,150,4
1445,250,150,5
1446,250,150,8
1447,250,150,8
1448,250,150,6
1449,250,150,6
1450,250,150,7
1451,250,150,6
1452,250,150,11
1453,250,150,6
1454,250,150,7
1455,250,150,5
1456,250,150,7
1457,250,150,6
1458,250,150,5
1459,250,150,8
1460,250,150,9
1461,250,150,7
1462,250,150,10
1463,250,150,6
1464,250,150,6
1465,250,150,6
1466,250,150,6
1467,250,150,7
1468,250,150,5
1469,250,150,6
1470,250,150,6
1471,250,150,8
1472,250,150,6
1473,250,150,5
1474,250,150,5
1475,250,150,7
1476,250,150,6
1477,250,150,7
1478,250,150,6
1479,250,150,6
1480,250,150,5
1481,250,150,7
1482,250,150,8
1483,250,150,7
1484,250,150,5
1485,250,150,6
1486,250,150,6
1487,250,150,8
1488,250,150,5
1489,250,150,5
1490,250,150,6
1491,250,150,6
1492,250,150,8
1493,250,150,6
1494,250,150,7
1495,250,150,6
1496,250,150,6
1497,250,150,8
1498,250,150,7
1499,250,150,5
1500,250,160,6
1501,250,160,7
1502,250,160,5
1503,250,160,8
1504,250,160,6
1505,250,160,6
1506,250,160,7
1507,250,160,6
1508,250,160,6
1509,250,160,7
1510,250,160,4
1511,250,160,5
1512,250,160,8
1513,250,160,5
1514,250,160,6
1515,250,160,3
1516,250,160,6
1517,250,160,9
1518,250,160,8
1519,250,160,7
1520,250,160,6
1521,250,160,6
1522,250,160,4
1523,250,160,5
1524,250,160,8
1525,250,160,5
1526,250,160,6
1527,250,160,7
1528,250,160,5
1529,250,160,7
1530,250,160,6
1531,250,160,6
1532,250,160,7
1533,250,160,7
1534,250,160,5
1535,250,160,6
1536,250,160,7
1537,250,160,6
1538,250,160,7
1539,250,160,6
1540,250,160,6
1541,250,160,9
1542,250,160,7
1543,250,160,6
1544,250,160,5
1545,250,160,7
1546,250,160,6
1547,250,160,7
1548,250,160,7
1549,250,160,7
1550,250,160,7
1551,250,160,8
1552,250,160,7
1553,250,160,7
1554,250,160,6
1555,250,160,4
1556,250,160,7
1557,250,160,8
1558,250,160,8
1559,250,160,9
1560,250,160,7
1561,250,160,7
1562,250,160,7
1563,250,160,7
1564,250,160,5
1565,250,160,6
1566,250,160,5
1567,250,160,7
1568,250,160,4
1569,250,160,6
1570,250,160,6
1571,250,160,5
1572,250,160,6
1573,250,160,8
1574,250,160,7
1575,250,160,4
1576,250,160,5
1577,250,160,7
1578,250,160,7
1579,250,160,7
1580,250,160,5
1581,250,160,9
1582,250,160,7
1583,250,160,7
1584,250,160,7
1585,250,160,7
1586,250,160,7
1587,250,160,4
1588,250,160,6
1589,250,160,7
1590,250,160,7
1591,250,160,7
1592,250,160,8
1593,250,160,7
1594,250,160,5
1595,250,160,8
1596,250,160,6
1597,250,160,8
1598,250,160,7
1599,250,160,10
1600,250,160,8
1601,250,160,7
1602,250,160,5
1603,250,160,5
1604,250,160,6
1605,250,160,6
1606,250,160,5
1607,250,160,7
1608,250,160,7
1609,250,160,7
1610,250,160,8
1611,250,160,6
1612,250,160,6
1613,250,160,7
1614,250,160,5
1615,250,160,8
1616,250,160,3
1617,250,160,5
1618,250,160,7
1619,250,160,6
1620,250,160,6
1621,250,160,6
1622,250,160,7
1623,250,160,5
1624,250,160,5
1625,250,160,7
1626,250,160,6
1627,250,160,5
1628,250,160,4
1629,250,160,8
1630,250,160,7
1631,250,160,6
1632,250,160,5
1633,250,160,6
1634,250,160,8
1635,250,160,5
1636,250,160,8
1637,250,160,7
1638,250,160,6
1639,250,160,7
1640,250,160,7
1641,250,160,5
1642,250,160,5
1643,250,160,7
1644,250,160,8
1645,250,160,5
1646,250,160,5
1647,250,160,7
1648,250,160,7
1649,250,160,7
1650,250,160,6
1651,250,160,8
1652,250,160,7
1653,250,160,7
1654,250,160,6
1655,250,160,6
1656,250,160,9
1657,250,160,9
